DATE,Actual,ARIMA,SARIMAX,XGBoost,LinearRegression
2012-06-01,4.601960038975198,-0.00011355161109298092,4.7019683146180755,4.6011486,5.319589660026836
2012-07-01,4.7149998998850675,-0.00011355161109298092,4.782241898348078,4.6011486,5.32356904934073
2012-08-01,4.68615644837384,-0.00011355161109298092,4.8062540147016115,4.6011486,5.327548438654623
2012-09-01,4.55800520050009,-0.00011355161109298092,4.691075782861031,4.6011486,5.331527827968517
2012-10-01,4.487480645960855,-0.00011355161109298092,4.616608738732839,4.6011486,5.3355072172824105
2012-11-01,4.531038059696507,-0.00011355161109298092,4.635139683371197,4.6011486,5.339486606596305
2012-12-01,4.63988364131412,-0.00011355161109298092,4.775583166373699,4.6011486,5.343465995910198
2013-01-01,4.732832262827882,-0.00011355161109298092,4.8301698922804235,4.6011486,5.347445385224092
2013-02-01,4.6535678922035935,-0.00011355161109298092,4.786554330383998,4.6011486,5.3514247745379855
2013-03-01,4.617165948271861,-0.00011355161109298092,4.713505233298343,4.6011486,5.35540416385188
2013-04-01,4.491813340284588,-0.00011355161109298092,4.608876236301627,4.6011486,5.359383553165773
2013-05-01,4.492372079899037,-0.00011355161109298092,4.6234453273048075,4.6011486,5.363362942479666
2013-06-01,4.596219245577891,-0.00011355161109298092,4.72073506685663,4.6011486,5.3673423317935605
2013-07-01,4.687896059979967,-0.00011355161109298092,4.801008660020223,4.6011486,5.371321721107454
2013-08-01,4.670209519198359,-0.00011355161109298092,4.825020758631131,4.6011486,5.375301110421348
2013-09-01,4.5828151641024295,-0.00011355161109298092,4.709842530430382,4.6011486,5.379280499735241
2013-10-01,4.502761974654589,-0.00011355161109298092,4.635375487529382,4.6011486,5.383259889049135
2013-11-01,4.559840128738472,-0.00011355161109298092,4.653906433244372,4.6011486,5.387239278363029
2013-12-01,4.715934872772695,-0.00011355161109298092,4.7943499179024744,4.6011486,5.391218667676922
2014-01-01,4.8060501322830325,-0.00011355161109298092,4.848936643472736,4.6011486,5.395198056990816
2014-02-01,4.710102109813558,-0.00011355161109298092,4.805321080711627,4.6011486,5.3991774463047095
2014-03-01,4.63376638915744,-0.00011355161109298092,4.732271985226004,4.6011486,5.403156835618604
2014-04-01,4.482569689981048,-0.00011355161109298092,4.627642987912337,4.6011486,5.407136224932497
2014-05-01,4.504937611050656,-0.00011355161109298092,4.6422120790453905,4.6011486,5.411115614246391
2014-06-01,4.605939889690181,-0.00011355161109298092,4.7395018188019575,4.6011486,5.4150950035602845
2014-07-01,4.672345540123916,-0.00011355161109298092,4.819775412494295,4.6011486,5.419074392874178
2014-08-01,4.67010831477189,-0.00011355161109298092,4.843787510110752,4.6011486,5.423053782188072
2014-09-01,4.593856426087818,-0.00011355161109298092,4.728609282114012,4.6011486,5.427033171501965
2014-10-01,4.508019212963042,-0.00011355161109298092,4.6541422392817955,4.6011486,5.4310125608158595
2014-11-01,4.5817879394929495,-0.00011355161109298092,4.67267318505713,4.6011486,5.434991950129753
2014-12-01,4.676810616262854,-0.00011355161109298092,4.813116669808028,4.6011486,5.438971339443647
2015-01-01,4.772825551384223,-0.00011355161109298092,4.867703395359431,4.6011486,5.44295072875754
2015-02-01,4.740847274958856,-0.00011355161109298092,4.824087832549858,4.6011486,5.4469301180714345
2015-03-01,4.630124227817495,-0.00011355161109298092,4.751038737153915,4.6011486,5.450909507385328
2015-04-01,4.4754885165183165,-0.00011355161109298092,4.6464097398224835,4.6011486,5.454888896699221
2015-05-01,4.492261252572935,-0.00011355161109298092,4.660978830962817,4.6011486,5.458868286013115
2015-06-01,4.6181594589321,-0.00011355161109298092,4.758268570730861,4.6011486,5.4628476753270085
2015-07-01,4.702643479120434,-0.00011355161109298092,4.838542164452834,4.6011486,5.466827064640903
2015-08-01,4.691635914138466,-0.00011355161109298092,4.862554262013554,4.6011486,5.470806453954796
2015-09-01,4.6072590028903,-0.00011355161109298092,4.74737603402825,4.6011486,5.47478584326869
2015-10-01,4.495195709029449,-0.00011355161109298092,4.672908991199889,4.6011486,5.4787652325825835
2015-11-01,4.508937881157137,-0.00011355161109298092,4.691439936978606,4.6011486,5.482744621896477
2015-12-01,4.613079822178187,-0.00011355161109298092,4.831883421734704,4.6011486,5.486724011210371
2016-01-01,4.746391063599495,-0.00011355161109298092,4.88647014728505,4.6011486,5.490703400524264
2016-02-01,4.648103230673126,-0.00011355161109298092,4.842854584472761,4.6011486,5.4946827898381585
2016-03-01,4.530655669668026,-0.00011355161109298092,4.769805489081844,4.6011486,5.498662179152052
2016-04-01,4.463989037015496,-0.00011355161109298092,4.665176491749417,4.6011486,5.502641568465946
2016-05-01,4.478668881428413,-0.00011355161109298092,4.679745582890158,4.6011486,5.506620957779839
2016-06-01,4.6235796864708405,-0.00011355161109298092,4.777035322658844,4.6011486,5.510600347093733
2016-07-01,4.722713192839866,-0.00011355161109298092,4.857308916382478,4.6011486,5.514579736407627
2016-08-01,4.734210508839084,-0.00011355161109298092,4.881321013940075,4.6011486,5.51855912572152
2016-09-01,4.612358289560061,-0.00011355161109298092,4.766142785955411,4.6011486,5.522538515035414
2016-10-01,4.494276613386068,-0.00011355161109298092,4.691675743127266,4.6011486,5.526517904349308
2016-11-01,4.513275267533776,-0.00011355161109298092,4.7102066889061724,4.6011486,5.530497293663202
2016-12-01,4.721151599697847,-0.00011355161109298092,4.850650173662562,4.6011486,5.534476682977095
2017-01-01,4.74330820181234,-0.00011355161109298092,4.905236899212848,4.6011486,5.538456072290989
2017-02-01,4.587101933793521,-0.00011355161109298092,4.861621336400406,4.6011486,5.5424354616048825
2017-03-01,4.601495442380673,-0.00011355161109298092,4.788572241009771,4.6011486,5.546414850918776
2017-04-01,4.453267643871126,-0.00011355161109298092,4.683943243677287,4.6011486,5.55039424023267
2017-05-01,4.490922518546327,-0.00011355161109298092,4.6985123348180515,4.6011486,5.554373629546563
2017-06-01,4.597079544839587,-0.00011355161109298092,4.795802074586774,4.6011486,5.5583530188604575
2017-07-01,4.6991376465664665,-0.00011355161109298092,4.876075668310501,4.6011486,5.562332408174351
2017-08-01,4.667119107003716,-0.00011355161109298092,4.900087765867922,4.6011486,5.566311797488245
2017-09-01,4.562366019929851,-0.00011355161109298092,4.784909537883293,4.6011486,5.570291186802138
2017-10-01,4.50879473898809,-0.00011355161109298092,4.710442495055161,4.6011486,5.574270576116032
2017-11-01,4.5616915406941105,-0.00011355161109298092,4.7289734408340784,4.6011486,5.578249965429926
2017-12-01,4.739947552065206,-0.00011355161109298092,4.8694169255904844,4.6011486,5.582229354743819
2018-01-01,4.839271085695539,-0.00011355161109298092,4.924003651140768,4.6011486,5.586208744057713
2018-02-01,4.665228058997463,-0.00011355161109298092,4.880388088328317,4.6011486,5.590188133371607
2018-03-01,4.635937965859444,-0.00011355161109298092,4.807338992937698,4.6011486,5.594167522685501
2018-04-01,4.526461338327626,-0.00011355161109298092,4.702709995605211,4.6011486,5.598146911999394
2018-05-01,4.533441074408259,-0.00011355161109298092,4.717279086745976,4.6011486,5.602126301313287
2018-06-01,4.637235552907876,-0.00011355161109298092,4.814568826514701,4.6011486,5.606105690627182
2018-07-01,4.728199878283229,-0.00011355161109298092,4.894842420238433,4.6011486,5.610085079941075
2018-08-01,4.727770931156104,-0.00011355161109298092,4.918854517795844,4.6011486,5.614064469254969
2018-09-01,4.61907407734989,-0.00011355161109298092,4.803676289811218,4.6011486,5.618043858568862
2018-10-01,4.5484093401663275,-0.00011355161109298092,4.729209246983086,4.6011486,5.6220232478827565
2018-11-01,4.618789027146082,-0.00011355161109298092,4.747740192762005,4.6011486,5.62600263719665
2018-12-01,4.705631620722126,-0.00011355161109298092,4.888183677518412,4.6011486,5.629982026510544
2019-01-01,4.787909988638386,-0.00011355161109298092,4.942770403068695,4.6011486,5.633961415824437
